category,food_id,food_name,calorie,water,protein,fat,cholesterol,carb,fiber,ash
11,11273,＜畜肉類＞うし　［副生物］　舌　焼き　,435,41.4,20.2,37.1,120,0.2,0,1
11,11091,＜畜肉類＞うし　［副生物］　心臓　生　,142,74.8,16.5,7.6,110,0.1,0,1
11,11092,＜畜肉類＞うし　［副生物］　肝臓　生　,132,71.5,19.6,3.7,240,3.7,0,1.5
11,11093,＜畜肉類＞うし　［副生物］　じん臓　生　,131,75.7,16.7,6.4,310,0.2,0,1
11,11094,＜畜肉類＞うし　［副生物］　第一胃　ゆで　,182,66.6,24.5,8.4,240,0,0,0.5
11,11095,＜畜肉類＞うし　［副生物］　第二胃　ゆで　,200,71.6,12.4,15.7,130,0,0,0.3
11,11096,＜畜肉類＞うし　［副生物］　第三胃　生　,62,86.6,11.7,1.3,120,0,0,0.4
11,11097,＜畜肉類＞うし　［副生物］　第四胃　ゆで　,329,58.5,11.1,30,190,0,0,0.4
11,11098,＜畜肉類＞うし　［副生物］　小腸　生　,287,63.3,9.9,26.1,210,0,0,0.7
11,11099,＜畜肉類＞うし　［副生物］　大腸　生　,162,77.2,9.3,13,150,0,0,0.5
11,11100,＜畜肉類＞うし　［副生物］　直腸　生　,115,80.7,11.6,7,160,0,0,0.7
11,11101,＜畜肉類＞うし　［副生物］　腱　ゆで　,155,66.5,28.3,4.9,67,0,0,0.3
11,11102,＜畜肉類＞うし　［副生物］　子宮　ゆで　,106,78.2,18.4,3,150,0,0,0.4
11,11103,＜畜肉類＞うし　［副生物］　尾　生　,492,40.7,11.6,47.1,76,,0,0.6
11,11274,＜畜肉類＞うし　［副生物］　横隔膜　生　,301,58.9,14.9,25.2,69,0.3,0,0.8
11,11104,＜畜肉類＞うし　［加工品］　ローストビーフ　　,196,64,21.7,11.7,70,0.9,0,1.7
11,11105,＜畜肉類＞うし　［加工品］　コンビーフ缶詰　　,203,63.4,19.8,13,68,1.7,0,2.1
11,11106,＜畜肉類＞うし　［加工品］　味付け缶詰　　,156,64.3,19.2,4.4,48,9.9,0,2.2
11,11107,＜畜肉類＞うし　［加工品］　ビーフジャーキー　　,315,24.4,54.8,7.8,150,6.4,0,6.6
11,11108,＜畜肉類＞うし　［加工品］　スモークタン　　,283,55.9,18.1,23,120,0.9,0,2.1
11,11109,＜畜肉類＞うま　肉　赤肉　生　　　,110,76.1,20.1,2.5,65,0.3,0,1
11,11110,＜畜肉類＞くじら　肉　赤肉　生　　　,106,74.3,24.1,0.4,38,0.2,0,1
11,11111,＜畜肉類＞くじら　うねす　生　　　,376,49,18.8,31.4,190,0.2,0,0.6
11,11112,＜畜肉類＞くじら　本皮　生　　　,689,21,9.7,68.8,120,0.2,0,0.3
11,11113,＜畜肉類＞くじら　さらしくじら　　　,31,93.7,5.3,0.9,16,0,0,0.1
11,11114,＜畜肉類＞しか　あかしか　赤肉　生　　　,110,74.6,22.3,1.5,69,0.5,0,1.1
11,11275,＜畜肉類＞しか　にほんじか　赤肉　生　　　,147,71.4,22.6,5.2,59,0.6,0,1.1
11,11115,＜畜肉類＞ぶた　［大型種肉］　かた　脂身つき　生　,216,65.7,18.5,14.6,65,0.2,0,1
11,11116,＜畜肉類＞ぶた　［大型種肉］　かた　皮下脂肪なし　生　,171,69.8,19.7,9.3,64,0.2,0,1
11,11117,＜畜肉類＞ぶた　［大型種肉］　かた　赤肉　生　,125,74,20.9,3.8,64,0.2,0,1.1
11,11118,＜畜肉類＞ぶた　［大型種肉］　かた　脂身　生　,704,22,5.3,72.4,68,0,0,0.3
11,11119,＜畜肉類＞ぶた　［大型種肉］　かたロース　脂身つき　生　,253,62.6,17.1,19.2,69,0.1,0,1
11,11120,＜畜肉類＞ぶた　［大型種肉］　かたロース　皮下脂肪なし　生　,226,65.1,17.8,16,69,0.1,0,1
